epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,347.232,3.00674,3.24188,3.85077,0.40523,0.47167,0.43374,0.18734,1.92454,3.41272,2.93726,0.00333019,0.00333019,0.00333019
2,725.142,1.8366,1.86787,2.48119,0.91413,0.67667,0.84969,0.53955,1.27883,1.22223,2.03158,0.0064986,0.0064986,0.0064986
3,1096.13,1.45237,1.38529,1.99202,0.95943,0.95167,0.97714,0.66035,1.15953,0.75747,1.824,0.00950201,0.00950201,0.00950201
4,1463.32,1.30721,1.17548,1.8077,0.9428,0.93408,0.97838,0.70072,1.01589,0.69823,1.60056,0.0092575,0.0092575,0.0092575
5,1822.57,1.19019,1.01989,1.68001,0.97073,0.94833,0.98393,0.72857,0.98601,0.6074,1.55309,0.00901,0.00901,0.00901
6,2190.49,1.12319,0.93094,1.60083,0.9783,0.97673,0.9929,0.76034,0.88231,0.51447,1.40133,0.0087625,0.0087625,0.0087625
7,2523.97,1.07357,0.86485,1.5477,0.98821,0.97793,0.99406,0.76119,0.89267,0.48114,1.39493,0.008515,0.008515,0.008515
8,2805.38,1.04653,0.82362,1.51656,0.98993,0.98265,0.99446,0.75616,0.91221,0.46571,1.41578,0.0082675,0.0082675,0.0082675
9,3087.92,1.01902,0.79478,1.48417,0.98916,0.97833,0.99431,0.76145,0.86417,0.45411,1.37392,0.00802,0.00802,0.00802
10,3371.3,0.99127,0.75819,1.45941,0.99461,0.995,0.99495,0.76728,0.86761,0.41414,1.36038,0.0077725,0.0077725,0.0077725
11,3652.53,0.97474,0.73507,1.44269,0.98395,0.99,0.99456,0.77414,0.86962,0.43029,1.3516,0.007525,0.007525,0.007525
12,3933.32,0.9487,0.71333,1.41838,0.99634,0.99667,0.99498,0.79641,0.81543,0.3816,1.30145,0.0072775,0.0072775,0.0072775
13,4214.33,0.93383,0.69268,1.40714,0.99663,0.98712,0.99485,0.7911,0.80663,0.38826,1.27494,0.00703,0.00703,0.00703
14,4496,0.92231,0.67806,1.3929,0.99629,0.99667,0.995,0.80139,0.78724,0.37002,1.2642,0.0067825,0.0067825,0.0067825
15,4775.87,0.90735,0.6597,1.38135,0.99667,0.9966,0.99498,0.80995,0.77717,0.36615,1.24487,0.006535,0.006535,0.006535
16,5058.28,0.89538,0.64457,1.36765,0.99497,0.99833,0.99497,0.79973,0.78098,0.35471,1.24704,0.0062875,0.0062875,0.0062875
17,5339.85,0.8861,0.63243,1.35501,0.99667,0.9973,0.99498,0.80051,0.7856,0.35008,1.23645,0.00604,0.00604,0.00604
18,5619.44,0.87582,0.61759,1.34634,0.99715,0.995,0.99487,0.81106,0.77469,0.35367,1.22656,0.0057925,0.0057925,0.0057925
19,5901.9,0.86789,0.60965,1.33591,0.99633,0.99667,0.99498,0.81754,0.75995,0.33205,1.22242,0.005545,0.005545,0.005545
20,6181.26,0.8581,0.60028,1.32956,0.99821,0.99833,0.995,0.81536,0.7526,0.32955,1.20883,0.0052975,0.0052975,0.0052975
21,6460.13,0.84617,0.58621,1.32227,0.99963,0.99833,0.995,0.82755,0.74966,0.32524,1.19677,0.00505,0.00505,0.00505
22,6741.33,0.83778,0.57401,1.31132,0.99816,0.99833,0.995,0.82254,0.74035,0.32425,1.20156,0.0048025,0.0048025,0.0048025
23,7073.13,0.8292,0.56454,1.30757,0.99816,0.99667,0.995,0.82733,0.73933,0.32049,1.1963,0.004555,0.004555,0.004555
24,7430.23,0.81622,0.55228,1.29433,0.99645,0.99667,0.99498,0.82402,0.72676,0.3138,1.18097,0.0043075,0.0043075,0.0043075
25,7831.01,0.81295,0.55183,1.28918,0.99979,0.99833,0.995,0.82616,0.73662,0.3154,1.18491,0.00406,0.00406,0.00406
26,8212.74,0.80684,0.54221,1.28599,1,0.99796,0.995,0.82945,0.72528,0.31243,1.18069,0.0038125,0.0038125,0.0038125
27,8537.05,0.79937,0.52977,1.27918,0.99779,0.99833,0.99498,0.82954,0.72935,0.31257,1.18432,0.003565,0.003565,0.003565
28,8827.25,0.79172,0.52383,1.2732,1,0.99788,0.995,0.8253,0.71852,0.30184,1.16748,0.0033175,0.0033175,0.0033175
29,9115.01,0.78393,0.51205,1.26315,0.99968,0.99833,0.995,0.8311,0.71659,0.29813,1.17031,0.00307,0.00307,0.00307
30,9402.09,0.77669,0.50588,1.26156,0.99808,0.99833,0.995,0.82869,0.71795,0.29662,1.16716,0.0028225,0.0028225,0.0028225
31,9762.72,0.67913,0.33122,1.18773,0.9998,0.99833,0.995,0.8379,0.70464,0.29953,1.16106,0.002575,0.002575,0.002575
32,10047.8,0.66599,0.32042,1.17768,0.99824,0.99833,0.995,0.83838,0.70286,0.29242,1.16208,0.0023275,0.0023275,0.0023275
33,10333.8,0.65512,0.31055,1.16781,0.99982,0.99833,0.995,0.83853,0.70193,0.28927,1.15851,0.00208,0.00208,0.00208
34,10618,0.64088,0.30462,1.15353,0.99981,0.99833,0.995,0.83686,0.69347,0.28931,1.14926,0.0018325,0.0018325,0.0018325
35,10905.3,0.6327,0.29704,1.14643,0.99976,0.99833,0.995,0.83781,0.69321,0.28628,1.15281,0.001585,0.001585,0.001585
36,11190.1,0.62098,0.29055,1.13691,0.99989,0.99833,0.995,0.83707,0.68975,0.28537,1.15301,0.0013375,0.0013375,0.0013375
37,11475.5,0.61438,0.28252,1.12866,0.99985,0.99833,0.995,0.83387,0.68984,0.28442,1.15579,0.00109,0.00109,0.00109
38,11758.4,0.60372,0.27935,1.12434,0.9998,0.99833,0.995,0.83718,0.68984,0.28276,1.15311,0.0008425,0.0008425,0.0008425
39,12042.3,0.59276,0.27168,1.11014,0.99977,0.99833,0.995,0.83903,0.68786,0.27936,1.15188,0.000595,0.000595,0.000595
40,12325.1,0.58788,0.26727,1.10388,0.99976,0.99833,0.995,0.84011,0.68603,0.2796,1.15025,0.0003475,0.0003475,0.0003475
